Sensor_ID,Tag_Name
,L2 CVR BAR SPEED
,L1_WB12_Input_PressureFilt_Q
,L1_WB12_Out_PressureFilt_Q
,L1_WB34_Input_PressureFilt_Q
,L1_WB34_Out_PressureFilt_Q
,L1_WB12_Actual Flow Rate_Q
,L1_WB34_Actual Flow Rate_Q
,L2_WB34_Input_PressureFilt_Q
,L2_WB34_Output_PressureFilt_Q
,L2_WB12_Input_PressureFilt_Q
,L2_WB12 _ActualFlowRate_Q
,L2_WB34_Actual FlowRate_Q
,L2_WB12_Output_PressureFilt_Q
,DCW_DEL_TEMP_TOP
,ACTUAL NUMBERS OF QTB BOOTER PUMP RUNNING
[2:1],L1_DCVR First head position
[3:14],L1_DCVRD  Out.Tail Position
,WTP6_600LINE_DELIVERY FLOW
,CB_Actual position
